model,variation,content,style,lpips,dinov2,psnr,ssim
BB,only_ip_adapter,content3,style3,0.265818,0.928688,16.297041,0.672647
BB,only_ip_adapter,content3,style4,0.242453,0.964859,20.147337,0.732053
BB,only_ip_adapter,content3,style5,0.220969,0.968143,17.441824,0.718114
BB,only_ip_adapter,content4,style1,0.232005,0.605964,16.972672,0.692041
BB,only_ip_adapter,content4,style2,0.248140,0.704887,16.847443,0.659072
BB,only_ip_adapter,content4,style3,0.463363,0.448793,16.109512,0.636314
BB,only_ip_adapter,content4,style4,0.218842,0.675609,18.141960,0.696796
BB,only_ip_adapter,content4,style5,0.245671,0.731100,17.066082,0.684050
BB,only_ip_adapter,content5,style1,0.486253,0.529828,19.116531,0.496520
BB,only_ip_adapter,content5,style2,0.463225,0.510030,18.449501,0.496149
BB,only_ip_adapter,content5,style3,0.483129,0.611395,17.888834,0.490431
BB,only_ip_adapter,content5,style4,0.470208,0.512583,17.235018,0.492296
BB,only_ip_adapter,content5,style5,0.417507,0.600355,19.625856,0.499556
BB,only_controlnet,content1,style1,0.609735,0.724681,9.039272,0.392524
BB,only_controlnet,content1,style2,0.685847,0.829449,11.294493,0.274548
BB,only_controlnet,content1,style3,0.769024,0.892285,9.151715,0.320187
BB,only_controlnet,content1,style4,0.609075,0.737514,11.645118,0.366180
BB,only_controlnet,content1,style5,0.700074,0.611021,10.220748,0.218014
BB,only_controlnet,content2,style1,0.477640,0.865425,10.335639,0.279811
BB,only_controlnet,content2,style2,0.528963,0.818367,11.420321,0.196253
BB,only_controlnet,content2,style3,0.619267,0.734209,10.502091,0.196439
BB,only_controlnet,content2,style4,0.531458,0.788588,12.060803,0.178638
BB,only_controlnet,content2,style5,0.574065,0.675694,11.094610,0.143678
BB,only_controlnet,content3,style1,0.525124,0.981639,10.987384,0.373948
BB,only_controlnet,content3,style2,0.579621,0.967285,12.533684,0.344449
BB,only_controlnet,content3,style3,0.574455,0.906181,11.524797,0.403488
BB,only_controlnet,content3,style4,0.554995,0.903447,11.746326,0.297810
BB,only_controlnet,content3,style5,0.611461,0.893005,11.193170,0.215120
BB,only_controlnet,content4,style1,0.462596,0.717321,8.598745,0.441638
BB,only_controlnet,content4,style2,0.521406,0.824520,9.266931,0.300662
BB,only_controlnet,content4,style3,0.535831,0.926491,8.584560,0.384018
BB,only_controlnet,content4,style4,0.477962,0.611506,9.732035,0.356287
BB,only_controlnet,content4,style5,0.528645,0.676959,9.133759,0.306854
BB,only_controlnet,content5,style1,0.597717,0.811781,13.553487,0.395588
BB,only_controlnet,content5,style2,0.592525,0.816807,13.148593,0.302477
BB,only_controlnet,content5,style3,0.649375,0.761096,12.670135,0.339528
BB,only_controlnet,content5,style4,0.602210,0.672089,13.845602,0.315097
BB,only_controlnet,content5,style5,0.655025,0.472761,12.449139,0.245672
BB,controlnet_ip_adapter,content1,style1,0.583494,0.596859,8.590011,0.359053
BB,controlnet_ip_adapter,content1,style2,0.714805,0.660706,9.547958,0.189324
BB,controlnet_ip_adapter,content1,style3,0.821154,0.684997,6.605772,0.204640
BB,controlnet_ip_adapter,content1,style4,0.654979,0.660988,11.900373,0.334818
BB,controlnet_ip_adapter,content1,style5,0.632236,0.530378,10.921540,0.348024
BB,controlnet_ip_adapter,content2,style1,0.490385,0.727984,9.001178,0.193801
BB,controlnet_ip_adapter,content2,style2,0.599966,0.717353,9.072433,0.068297
BB,controlnet_ip_adapter,content2,style3,0.726349,0.586702,7.669394,0.113506
BB,controlnet_ip_adapter,content2,style4,0.536843,0.655726,11.221909,0.108355
BB,controlnet_ip_adapter,content2,style5,0.516563,0.726776,11.694510,0.164240
BB,controlnet_ip_adapter,content3,style1,0.514047,0.852888,9.747207,0.295378
